,country_name,Alpha3,N20_49,P20_49,TOTAL,Total_Pop,Incidence Per Age Capita,year,animal_product_kg_cap_yr
0,Algeria,DZA,239.6,521398.2,784.0,1155642.8,0.04595336155744304,2008,143.81
1,Argentina,ARG,2193.0,2154171.2,13379.0,5154169.4,0.10180249369223765,2008,309.36
2,Australia,AUS,15008.400000000001,9393734.8,119559.2,22003467.799999997,0.15977031840413464,2008,347.19
3,Austria,AUT,4731.6,3591460.5999999996,38870.0,8367787.6,0.13174584178927096,2008,336.16
4,Belarus,BLR,5868.400000000001,4277173.4,41113.4,9492600.0,0.13720276105710374,2008,234.04999999999998
5,Belgium,BEL,8990.0,4415506.800000001,82552.2,10849413.0,0.20360063764367883,2008,334.96
6,Brazil,BRA,2606.8,1906659.0000000002,13106.2,3804435.8000000003,0.13672082947186673,2008,222.88
7,Brunei Darussalam,BRN,92.4,81288.4,320.6,184460.8,0.11366935503712709,2008,187.55
8,Bulgaria,BGR,4167.2,3156401.0,35207.2,7479406.2,0.13202378278298607,2008,206.79
9,Canada,CAN,16170.400000000001,11153751.4,134434.80000000002,26096192.000000004,0.14497723160657858,2008,313.79
10,Chile,CHL,699.4000000000001,770730.8,4398.8,1709000.2000000002,0.09074504353530441,2008,188.37
11,China,CHN,33324.2,31062495.4,195833.60000000003,62966872.80000001,0.10728114264767022,2008,99.99000000000001
12,Colombia,COL,1664.1999999999998,1887373.4,8009.0,4120245.0,0.08817545060240861,2008,187.12000000000003
13,Costa Rica,CRI,1681.6000000000001,1688778.7999999998,7851.8,3627910.4000000004,0.09957491176464321,2008,239.15
14,Croatia,HRV,2419.8,1781773.7999999998,22214.6,4365909.4,0.13580848478072807,2008,293.57
15,Cyprus,CYP,507.0,379697.4,3122.3999999999996,836742.0,0.13352738259466618,2008,224.96
16,Czech Republic,CZE,6359.0,4589288.6,69770.0,10488877.8,0.13856178057749519,2008,288.83
17,Denmark,DNK,5016.400000000001,2189753.4000000004,46850.2,5541244.6,0.2290851563468288,2008,358.53000000000003
18,Ecuador,ECU,2102.8,2649189.8,9495.0,6007988.8,0.07937521124383011,2008,190.63
19,Estonia,EST,725.2,559667.0,7758.200000000001,1330643.0,0.12957705206846215,2008,338.87
20,France,FRA,7449.799999999999,4581979.799999999,65425.200000000004,11501190.200000001,0.16258910613268093,2008,344.28999999999996
21,Germany,DEU,39885.8,21752904.400000002,413475.19999999995,53057190.6,0.183358503612051,2008,350.77
22,Iceland,ISL,231.4,135601.0,1791.2,319272.0,0.17064770908769109,2008,346.03999999999996
23,India,IND,11593.4,23535480.8,42447.80000000001,47320280.599999994,0.04925924436606368,2008,82.21000000000001
24,Ireland,IRL,3517.7999999999997,2069016.8,28503.4,4547899.0,0.17002278570188506,2008,398.72
25,Israel,ISR,3615.8,3045101.0,25913.6,7618808.4,0.11874154584691936,2008,305.97999999999996
26,Italy,ITA,19712.2,10240602.599999998,177853.99999999997,24602392.8,0.1924906255028391,2008,365.87
27,Jamaica,JAM,157.2,251668.40000000002,861.8,528839.3999999999,0.062463145949193444,2008,163.04
28,Japan,JPN,12761.6,10840902.6,179603.4,28320707.4,0.11771713547172724,2008,139.73
29,Jordan,JOR,1514.4,2554911.0,4743.0,6115998.0,0.05927408038871022,2008,156.02
30,Kenya,KEN,761.0,1747514.0,1911.6000000000001,3134798.0,0.043547576728999025,2008,110.24000000000001
31,Kuwait,KWT,791.1999999999999,2291879.0,2080.0,3617692.2,0.03452189229885173,2008,252.53
32,Latvia,LVA,692.2,519008.8,6747.6,1238311.2000000002,0.1333696076058826,2008,313.87
33,Lithuania,LTU,2007.8000000000002,1291492.6,18644.8,3094863.4,0.15546353111121194,2008,398.79
34,Malaysia,MYS,648.5999999999999,796360.0,2793.8,1745800.0,0.08144557737706563,2008,89.27999999999999
35,Malta,MLT,205.6,171795.59999999998,1872.0,415745.0,0.11967710465227283,2008,285.11999999999995
36,Netherlands,NLD,10776.199999999999,6763283.199999999,100744.6,16607871.8,0.1593338572603318,2008,435.84
37,New Caledonia,NCL,130.0,88927.59999999999,712.4,198438.2,0.146186335850737,2008,192.07
38,New Zealand,NZL,2772.8,1803708.0,21218.6,4357717.0,0.1537277652480335,2008,213.99
39,Norway,NOR,2832.3999999999996,2009401.8,27965.8,4891519.6,0.14095737348299378,2008,338.25
40,Peru,PER,2315.0,2602317.0,11854.0,5582951.4,0.08895918521840344,2008,81.67
41,Philippines,PHL,4568.6,6660518.0,15969.8,14031144.0,0.06859226264383642,2008,48.54
42,Poland,POL,1520.0,1529337.0,13791.8,3427500.0,0.09938947400082519,2008,249.21000000000004
43,Portugal,PRT,145.4,90114.80000000002,1015.1999999999999,197504.2,0.1613497449919436,2008,325.85
44,Russian Federation,RUS,4553.0,3911588.4000000004,35750.0,8562709.0,0.11639772732734352,2008,246.55
45,Saudi Arabia,SAU,1006.0,1999286.6,2990.8,4271262.2,0.05031794841219863,2008,131.29999999999998
46,Slovakia,SVK,2075.2,1499661.0,17657.0,3251274.0,0.138377940081125,2008,201.31
47,Slovenia,SVN,1372.0,889724.6000000001,13029.8,2044596.6,0.15420502029504407,2008,356.75
48,South Africa,ZAF,180.6,323451.0,672.8,1073409.0,0.05583535064043703,2008,122.77
49,Spain,ESP,6550.2,4736553.800000001,55553.399999999994,10346970.200000001,0.1382904169694008,2008,277.76
50,Switzerland,CHE,3144.4,1915416.2,28305.8,4394036.4,0.16416275481015563,2008,393.84000000000003
51,Thailand,THA,4687.8,5928952.0,20427.199999999997,11604312.200000003,0.07906624981952966,2008,62.09
52,Turkey,TUR,6391.6,5739863.399999999,32124.8,12130997.000000002,0.11135456638218953,2008,174.78
53,Uganda,UGA,836.8,977310.2,1600.1999999999998,2242928.8,0.08562276337645917,2008,51.82999999999999
54,Ukraine,UKR,24513.2,20492320.0,167495.6,45797944.2,0.119621399626787,2008,237.31
55,United Kingdom,GBR,34553.4,26048610.4,341103.4,62766777.8,0.13264968637252145,2008,337.11
56,United States of America,USA,191467.0,126645443.19999999,1511097.8,309126896.8,0.15118348924535172,2008,389.98
57,Uruguay,URY,1789.8000000000002,1381374.0,15181.0,3395387.4000000004,0.12956664885831065,2008,298.43
58,Viet Nam,VNM,1750.1999999999998,3374945.2,5763.2,6028657.4,0.05185861980810828,2008,57.07
59,Zimbabwe,ZWE,421.8,426933.6,1142.1999999999998,873306.0,0.09879756477353856,2008,47.34
